Identifier,Remarks,eng enc ena enz eni ens enj enb enl ent enw,default,pt
TXT_GAME_NAME,,,Maddy Dreamscapes,Maddy Dreamscapes
MAP_DEBUG,,,Debug,Debug
MAP_SHROOM,,,Shards Room,Sala dos Fragmentos
MAP_NEXUS,,,The Nexus,O Nexo
MAP_ROOM1,,,Madison's Bedroom,Quarto da Madison
MAP_ROOM2,,,Madison's Bedroom?,Quarto da Madsion?
MAP_DREAM1,,,Desert,Deserto
MAP_DREAM2,,,Labyrinth,Labirinto
MAP_DREAM3,,,Gallery,Galeria
MAP_DREAM4,,,Sky,Céu
MAP_DREAM5,,,Fun Guys,Caras Fungais
MAP_DREAM6,,,Highway,Avenida
MAP_DREAM7,,,Neon Corridors,Corredores de Neon
MAP_DREAM8,,,,
MAP_DREAM9,,,,
MAP_DREAM10,,,,
MAP_DREAM11,,,,
MAP_DREAM12,,,,
MAP_DREAM13,,,,
MAP_DREAM14,,,,
MAP_DREAM15,,,,
MAP_DREAM16,,,,
MAP_DREAM17,,,,
MAP_DREAM18,,,,
MAP_DREAM19,,,,
MAP_DREAM20,,,,
MSG_CRES_NAME,,,Crescent Shard,Fragmento do Crescente
MSG_CRES_GET,,,Take a leap of faith.,Dê um salto de fé.
MSG_CRES_HELP,,,Reveals photos in diary; lets you walk in some places you couldn't before.,Revela fotos no diário; permite-lhe andar em alguns lugares que não podia antes.
MSG_STAR_NAME,,,Star Shard,Fragmento da Estrela
MSG_STAR_GET,,,They gaze upon you.,Elas olham para você.
MSG_STAR_HELP,,,"Lets you warp back to the Nexus from a dreamscape. (""2"" by default.)","Permite-lhe voltar ao Nexo de uma paisagem dos sonhos. (""2"" por padrão.)"
MSG_BOLT_NAME,,,Lightning Shard,Fragmento do Relâmpago
MSG_BOLT_GET,,,Life has its ups and downs.,A vida tem seus altos e baixos.
MSG_BOLT_HELP,,,Some floors can be lowered by interacting with them.,Alguns pisos pode ser abaixados ao interagir com eles.
MSG_METE_NAME,,,Meteor Shard,Fragmento do Meteoro
MSG_METE_GET,,,You feel lighter.,Você se sente mais leve.
MSG_METE_HELP,,,Makes you move faster when you're sleeping.,Faz com que você se mova mais rápido enquanto dorme.
MSG_EMBR_NAME,,,Ember Shard,Fragmento da Fagulha
MSG_EMBR_GET,,,Feel its embrace.,Sinta seu abraço.
MSG_EMBR_HELP,,, ,
MSG_FLOW_NAME,,,Flow Shard,Fragmento do Fluxo
MSG_FLOW_GET,,,You can get through these obstacles.,Você pode superar as barreiras.
MSG_FLOW_HELP,,,Lets you walk through fences.,Permite que você ande através de cercas.
MSG_FLUD_NAME,,,Flood Shard,Fragmento da Enchente
MSG_FLUD_GET,,,It cleanses the body and the soul.,Ela limpa a alma e o corpo.
MSG_FLUD_HELP,,, ,
MSG_CRYS_NAME,,,Crystal Shard,Fragmento de Cristal
MSG_CRYS_GET,,,Things get clearer.,As coisas se esclarecem.
MSG_CRYS_HELP,,, ,
MSG_GRAV_NAME,,,Gravity Shard,Fragmento da Gravidade
MSG_GRAV_GET,,,It is not the fall that hurts you.,Não é a queda que te machuca.
MSG_GRAV_HELP,,, ,
MSG_CHAO_NAME,,,Chaos Shard,Fragmento Caótico
MSG_CHAO_GET,,,Focus.,Foque-se.
MSG_CHAO_HELP,,, ,
MSG_MATT_NAME,,,Matter Shard,Fragmento Material
MSG_MATT_GET,,,Do they have inherent value?,Elas têm valor inerente?
MSG_MATT_HELP,,, ,
MSG_VOID_NAME,,,Void Shard,Fragmento Vazio
MSG_VOID_GET,,,You lost your words.,Você perdeu suas palavras.
MSG_VOID_HELP,,, ,
MSG_SHEL_NAME,,,Shell Shard,Fragmento da Casca
MSG_SHEL_GET,,,You're hurt on the outside...,Você se feriu por fora...
MSG_SHEL_HELP,,, ,
MSG_SOUL_NAME,,,Soul Shard,Fragmento da Alma
MSG_SOUL_GET,,,... and the inside.,... e por dentro.
MSG_SOUL_HELP,,, ,
MSG_DOOR,,,A door has opened somewhere...,Uma porta se abriu em algum lugar...
MSG_OUTSIDE,,,An exit has appeared outside.,Uma saída surgiu no lado de fora.
MSG_ALL_SHARDS,,,This door can be opened once all shards have been found.,Todos os fragmentos devem ser encontrados para abrir esta porta.
MSG_STAR,,,The power of the star will let you through.,O poder da estrela a deixará passar.
MSG_WONT_OPEN,,,I am not leaving.,Eu não pretendo sair.
MSG_NEED_BOLT,,,It won't move without energy.,Não dá para mover sem energia.
MSG_HELP,,,First time playing? Press F1 for help.,Primeira vez jogando? Pressione F1 para ajuda.
MNU_INFO,,,Help,Ajuda
